Spike Factor,Spike Duration,Iteration,Grad (mean),Exp Avg (mean),Exp Avg Sq (mean),Denom (mean),Norm Grad (mean)
0.0,5,17,-0.00015923147422690207,2.4330509069121986e-05,4.814937592211175e-09,6.872847619629658e-05,0.38378213700411656
0.0,5,18,-6.535657238277668e-06,2.1243892438382024e-05,5.0531937817114845e-09,7.042128596840389e-05,0.30742812607204195
0.0,5,19,-0.000117437707135126,7.375732481031221e-06,5.401316336000097e-09,7.288705684631105e-05,0.03868009554879978
0.0,5,20,-0.0001384499403236234,-7.206834799434232e-06,5.761609915066011e-09,7.5346487545018e-05,-0.18385449872768136
0.0,5,21,6.69763462707313e-05,2.114833075823251e-07,6.213111287750739e-09,7.820723691915506e-05,-0.11799132954881206
0.0,5,22,0.00010025053450652552,1.021538842747664e-05,6.4715992270598104e-09,7.9854253135207e-05,0.003124189379776904
0.0,5,23,2.6495658639194348e-05,1.1843415448648409e-05,6.872116602886711e-09,8.225139259745629e-05,0.04712884913105142
0.0,5,24,-0.00012692345627554526,-2.0332717237709614e-06,7.146278980579289e-09,8.393250515156754e-05,-0.11932467179709871
0.0,5,25,7.293905305534227e-05,5.463960754140361e-06,7.35599580233406e-09,8.523228446457269e-05,-0.013766688128035082
0.0,5,26,-1.7664369707030736e-06,4.740920981656019e-06,7.651474066210377e-09,8.692245568934335e-05,-0.0010181412956338926
0.0,5,27,8.772477241793722e-05,1.3039306125284137e-05,7.905345672008343e-09,8.838479142960894e-05,0.12905128088848863
0.0,5,28,1.7500031095568386e-05,1.3485378622312563e-05,8.284639273800467e-09,9.054646545345706e-05,0.1470834714458339
0.0,5,29,-0.00014528280990924058,-2.3914402308427556e-06,8.511990697974836e-09,9.180947149329317e-05,-0.020823836251494553
0.0,5,30,0.0001809014599346081,1.5937849785702323e-05,8.87648215296689e-09,9.378516738841697e-05,0.2015961959177127
0.0,5,31,-3.7117515595405594e-05,1.0632313247591534e-05,9.156525879199662e-09,9.526594562953268e-05,0.11906587710331279
0.0,5,32,-0.0003005668819453328,-2.0487606271700898e-05,9.466096725114063e-09,9.688109510899931e-05,-0.22370498141728795
0.0,5,33,-0.00024229183760500248,-4.266802940503105e-05,9.799980233440198e-09,9.860092251029234e-05,-0.43563710359789465
0.0,5,34,8.648340908051468e-05,-2.975288555647648e-05,1.0015944170279758e-08,9.970436795852025e-05,-0.2912884202749437
0.0,5,35,-0.000133304435092363,-4.010804051006513e-05,1.054255315790831e-08,0.00010234179715518447,-0.37906283735694357
0.0,5,36,3.92690394284561e-05,-3.217033251621301e-05,1.0786161489493875e-08,0.00010350864388065796,-0.3118476748715141
0.0,5,37,-8.931340295407395e-05,-3.7884639559999095e-05,1.1039690364834516e-08,0.0001047085775609328,-0.3595128913366626
0.0,5,38,-0.0003713899006847946,-7.123516567247864e-05,1.139424595482306e-08,0.00010641074186686691,-0.6606207899408707
0.0,5,39,0.00011796687124010353,-5.231496198122043e-05,1.1675170048081512e-08,0.0001077301972794531,-0.46301188116118763
0.0,5,40,-0.00021518145893108814,-6.860161167620719e-05,1.2145952588339453e-08,0.00010988539430413713,-0.6216895892358147
0.0,5,41,0.00023624302531906842,-3.8117147976679644e-05,1.2439124625114383e-08,0.00011123012126228987,-0.34068436896490084
0.0,5,42,-5.592099879441186e-05,-3.989753305845286e-05,1.2804648979481674e-08,0.00011287934258623704,-0.34853908050813603
0.0,5,43,-0.00015304116933522106,-5.121189668612968e-05,1.3073862421658268e-08,0.00011406131169374207,-0.44161050149293024
0.0,5,44,2.065923783025418e-05,-4.402478323449129e-05,1.3271283315439938e-08,0.00011492180358939778,-0.36817060088485287
0.0,5,45,-2.4856422773414253e-05,-4.210794718838359e-05,1.363638969098195e-08,0.00011649891039174403,-0.33819894418381646
0.0,5,46,-9.12450293079087e-05,-4.70216554003361e-05,1.3900947219411775e-08,0.00011762040685387134,-0.3777990834309004
0.0,5,47,-4.294855272171503e-05,-4.661434513247399e-05,1.4161162495303428e-08,0.00011872741577375786,-0.37438347662982563
0.0,5,48,-0.00013334295035582775,-5.5287205654809366e-05,1.4486384902631257e-08,0.0001201263329793325,-0.4519490670403746
0.0,5,49,-1.7288636448401672e-06,-4.9931371453812445e-05,1.470093700140336e-08,0.00012103796117817548,-0.4111467491063218
0.0,10,0,-5.2459152477216284e-11,-5.245915247721625e-12,4.683512745855547e-22,1.0019257243617291e-08,-0.0005243966502163498
0.0,10,1,-5.2459152477216284e-11,-9.967238970671085e-12,9.362341978965239e-22,1.0027227045782449e-08,-0.0009961987333587342
0.0,10,2,-5.2459152477216284e-11,-1.4216430321325603e-11,1.403649238284182e-21,1.0033337848487163e-08,-0.001420723646334934
0.0,10,3,-5.2459152477216284e-11,-1.804070253691466e-11,1.8705968636314524e-21,1.0038485609795702e-08,-0.0018027206652942952
0.0,10,4,-5.2459152477216284e-11,-2.148254753094484e-11,2.3370775413533758e-21,1.0043017466811997e-08,-0.0021464552566570778
0.0,10,5,-5.2459152477216284e-11,-2.4580208025571963e-11,2.803091738397577e-21,1.004711149944765e-08,-0.00245576227047223
0.0,10,6,-5.2459152477216284e-11,-2.7368102470736397e-11,3.268639921244734e-21,1.0050873522765398e-08,-0.002734090772667572
